circRNA,miRNA
hsa_circ_0081146,hsa-miR-4530
hsa_circ_0044529,hsa-miR-214-3p
hsa_circ_0044520,hsa-miR-6895-5p
hsa_circ_0089548,hsa-miR-4763-3p
hsa_circ_0044529,hsa-miR-6132
hsa_circ_0081108,hsa-miR-1286
hsa_circ_0044516,hsa-miR-214-3p
hsa_circ_0044529,hsa-miR-29b-3p
hsa_circ_0044520,hsa-miR-3619-5p
hsa_circ_0001946,hsa-miR-1290
hsa_circ_0081143,hsa-miR-4530
hsa_circ_0089548,hsa-miR-6722-3p
hsa_circ_0081146,hsa-miR-4726-5p
hsa_circ_0050102,hsa-miR-6884-5p
hsa_circ_0020792,hsa-miR-574-5p
